,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Abu Kamal,0,SY,1573942173,19,34.45,40.92,59.31,14.94
375,Riverton,90,US,1573942174,93,43.02,-108.38,43.0,5.82
376,Itoman,40,JP,1573942174,64,26.12,127.67,73.4,8.05
377,Blois,90,FR,1573942174,100,47.59,1.33,43.0,2.24
378,Along,28,IN,1573942174,90,28.17,94.8,60.17,3.24
379,Lagoa,0,PT,1573941680,71,37.14,-8.45,52.0,5.82
380,Baykit,61,RU,1573942174,98,61.68,96.39,-27.0,1.88
381,Pratapgarh,0,IN,1573942175,50,25.92,82.0,68.41,4.63
382,West Bay,90,CA,1573942175,93,49.34,-123.21,51.01,10.29
383,Karpogory,100,RU,1573942175,93,64.0,44.44,27.75,3.47
384,At-Bashi,99,KG,1573941694,41,41.17,75.81,11.98,7.02
385,Kulhudhuffushi,54,MV,1573942175,79,6.62,73.07,81.79,14.09
386,Mountain Home,1,US,1573942175,35,43.13,-115.69,55.4,16.11
387,Eyl,33,SO,1573941658,80,7.98,49.82,79.65,22.57
388,Hope,1,US,1573942176,26,33.67,-93.59,57.99,4.7
389,Marrakesh,0,MA,1573942176,61,31.63,-7.99,50.0,5.82
390,Perth,90,AU,1573942176,93,-31.95,115.86,66.99,5.82
391,Ribeira Grande,20,PT,1573942176,72,38.52,-28.7,59.0,5.82
392,Saint-Joseph,100,FR,1573942176,81,43.56,6.97,52.0,4.7
393,Victoria,75,BN,1573941618,88,5.28,115.24,78.8,1.12
394,Sobolevo,100,RU,1573941653,92,54.43,31.9,42.22,8.41
395,Acambaro,75,MX,1573942177,46,20.03,-100.73,71.6,6.93
396,Wukari,65,NG,1573942177,53,7.87,9.78,82.17,3.44
397,Calabozo,70,VE,1573942053,61,8.92,-67.43,87.76,2.08
398,Montecorvino Rovella,40,IT,1573942177,52,40.7,14.98,69.01,8.05
399,Teknaf,0,BD,1573942177,97,20.86,92.31,64.33,1.83
400,Samarai,100,PG,1573941727,92,-10.62,150.67,77.09,3.98
401,Quatre Cocos,75,MU,1573942178,83,-20.21,57.76,75.99,12.75
402,Ahmadnagar,75,IN,1573942178,76,19.09,74.75,69.58,6.2
403,Vila do Maio,20,CV,1573942178,69,15.13,-23.22,75.2,11.41
404,Dunedin,33,NZ,1573942178,68,-45.87,170.5,51.84,3.02
405,Karratha,0,AU,1573941615,57,-20.74,116.85,82.22,10.51
406,Knysna,100,ZA,1573942178,93,-34.04,23.05,59.0,11.41
407,Nantucket,1,US,1573942178,47,41.28,-70.1,37.0,10.29
408,Faya,96,SA,1573941697,66,18.39,42.45,57.2,2.95
409,Rexburg,90,US,1573942179,39,43.82,-111.79,51.01,10.29
410,Koutsouras,100,GR,1573942179,78,35.03,25.95,63.0,5.99
411,Sisimiut,100,GL,1573942179,66,66.94,-53.67,16.52,13.27
412,Rio Gallegos,40,AR,1573942062,39,-51.62,-69.22,62.6,24.16
413,Wakkanai,100,JP,1573942179,73,45.41,141.67,28.96,32.64
414,Abu Samrah,0,SY,1573942179,28,35.3,37.18,61.12,6.26
415,Nome,1,US,1573941643,42,30.04,-94.42,64.99,5.82
416,Umm Lajj,0,SA,1573942180,69,25.02,37.27,70.77,3.22
417,Bulgan,100,MN,1573941665,94,48.81,103.53,-9.62,7.81
418,Nivala,100,FI,1573942180,93,63.93,24.96,27.0,4.0
419,Anadyr,40,RU,1573942180,85,64.73,177.51,15.8,8.95
420,The Valley,20,AI,1573942156,74,18.22,-63.06,82.4,6.93
421,Vardo,1,US,1573941686,18,39.62,-77.74,42.01,10.29
422,Vila Velha,20,BR,1573942180,69,-3.71,-38.6,82.4,8.05
423,Veraval,90,FR,1573941727,100,49.65,0.71,41.0,3.36
424,Hervey Bay,40,AU,1573942181,74,-25.3,152.85,82.99,17.22
425,Cairns,20,AU,1573942181,69,-16.92,145.77,79.0,13.87
426,Ancud,90,CL,1573941683,87,-41.87,-73.83,53.6,16.11
427,Dharchula,0,IN,1573942181,26,29.85,80.53,41.61,10.63
428,Vao,100,EE,1573941643,96,59.1,26.19,36.7,8.55
429,Kavaratti,100,IN,1573941663,75,10.57,72.64,82.45,7.96
430,Alamosa,40,US,1573942098,22,37.47,-105.87,55.4,8.05
431,Kovvur,10,IN,1573942181,81,17.02,81.73,73.62,1.99
432,Beysehir,0,TR,1573942181,89,37.68,31.72,44.64,3.02
433,Gillette,98,US,1573942182,79,44.29,-105.5,42.01,8.99
434,Praia da Vitoria,20,PT,1573942182,93,38.73,-27.07,59.0,9.78
435,Ust-Kan,100,RU,1573942182,78,50.93,84.77,0.63,6.82
436,Kita,20,JP,1573942182,58,35.76,139.74,57.2,9.17
437,Gerede,0,TR,1573942182,73,40.8,32.2,51.19,4.41
438,Caucaia,20,BR,1573942182,69,-3.73,-38.66,82.4,8.05
439,Yima,42,CN,1573942182,57,34.75,111.87,46.99,1.9
440,Linxia,100,CN,1573941670,40,35.6,103.21,27.34,2.89
441,Lakes Entrance,0,AU,1573942183,59,-37.88,147.99,60.01,1.99
442,Kimbe,100,PG,1573942183,95,-5.56,150.15,74.88,1.1
443,San Carlos,99,NI,1573942183,1,11.12,-84.78,75.99,13.0
444,Helsingborg,75,SE,1573942183,93,56.05,12.69,46.4,25.28
445,Atambua,28,ID,1573942183,79,-9.11,124.89,72.97,2.33
446,Acajutla,100,SV,1573942183,65,13.59,-89.83,84.29,8.46
447,Mount Isa,2,AU,1573942145,10,-20.73,139.49,84.2,18.34
448,Kingaroy,7,AU,1573942184,69,-26.54,151.84,80.01,8.05
449,Cayenne,0,GF,1573941640,78,4.94,-52.33,82.4,5.82
450,Beloha,51,MG,1573942184,81,-25.17,45.06,73.9,14.81
451,Beringovskiy,100,RU,1573941652,75,63.05,179.32,29.53,16.87
452,Bamiantong,0,CN,1573942184,79,44.93,130.53,3.94,4.0
453,Marienburg,0,DE,1573942184,86,52.12,9.98,41.0,6.93
454,Lagunas,86,PE,1573942185,64,-5.23,-75.68,83.7,3.58
455,Arlit,1,NE,1573942185,12,18.74,7.39,82.62,6.96
456,Abu Dhabi,33,AE,1573942185,56,24.47,54.37,73.4,4.7
457,San Ramon de la Nueva Oran,100,AR,1573942185,23,-23.13,-64.33,94.46,6.13
458,Olenegorsk,0,RU,1573942185,94,68.14,33.28,13.33,0.18
459,Zhezkazgan,0,KZ,1573942185,44,47.8,67.71,19.49,2.98
460,Chhatapur,0,IN,1573942185,93,23.07,86.96,66.2,3.36
461,Tessaoua,0,NE,1573942185,19,13.76,7.99,84.02,8.86
462,Tubmanburg,100,LR,1573942186,94,6.87,-10.82,75.33,2.06
463,Galveston,1,US,1573942186,69,40.58,-86.19,41.0,9.17
464,Limon,1,US,1573942186,22,39.26,-103.69,61.0,9.17
465,Labuhan,77,ID,1573942161,78,-2.54,115.51,73.45,1.74
466,Kahului,1,US,1573941644,48,20.89,-156.47,87.8,11.41
467,Kutum,0,SD,1573942186,28,14.2,24.66,71.58,8.68
468,Rabo de Peixe,75,PT,1573942186,63,37.8,-25.58,60.8,3.36
469,Healdsburg,1,US,1573942187,52,38.61,-122.87,79.0,3.38
470,Boulder,1,US,1573941892,24,40.02,-105.27,68.0,17.22
471,Banepa,75,NP,1573941987,93,27.63,85.52,57.2,2.24
472,Shangrao,5,CN,1573942187,60,28.45,117.97,58.96,4.43
473,Ugoofaaru,100,MV,1573942187,75,5.67,73.0,81.95,12.53
474,Port Hedland,0,AU,1573942187,78,-20.31,118.58,71.6,5.82
475,Fort Smith,1,US,1573942031,21,35.39,-94.42,63.0,4.7
476,Gao,35,ML,1573942188,14,16.28,-0.04,82.31,8.99
477,Luebo,100,CD,1573942188,99,-5.35,21.42,70.27,1.66
478,Alausi,100,EC,1573942188,92,-2.2,-78.83,58.39,2.98
479,Cherskiy,74,RU,1573941635,100,68.75,161.3,-7.46,2.44
480,Jiblah,0,YE,1573942188,75,13.92,44.15,63.61,5.44
481,Hailun,36,CN,1573942188,39,47.46,126.97,9.14,4.47
482,Horasan,0,TR,1573942188,58,40.04,42.16,32.14,3.85
483,Serik,0,TR,1573942189,67,36.92,31.1,60.8,4.7
484,Nabire,35,ID,1573942189,96,-3.36,135.5,70.57,2.57
485,Makubetsu,53,JP,1573942189,79,42.84,143.34,24.87,15.43
486,Wenzhou,20,CN,1573942189,1,28.02,120.66,64.0,5.99
487,Turbiv,23,UA,1573942189,96,49.34,28.73,48.61,9.57
488,Lebanon,1,US,1573942086,16,40.34,-76.42,39.2,6.93
489,Corralillo,100,CU,1573942189,79,22.98,-80.59,74.14,16.55
490,Ponta Delgada,75,PT,1573942190,63,37.73,-25.67,60.8,3.36
491,Kirksville,1,US,1573942190,49,40.19,-92.58,50.0,16.11
492,Iqaluit,90,CA,1573941635,72,63.75,-68.52,17.6,12.75
493,Slave Lake,75,CA,1573942190,93,55.28,-114.77,35.6,5.82
494,Georgiyevka,0,RU,1573942190,86,52.25,40.45,32.56,9.33
495,Ukiah,1,US,1573941699,43,39.15,-123.21,77.0,3.71
496,Pitimbu,20,BR,1573941629,74,-7.47,-34.81,80.6,5.82
497,Elko,1,US,1573942191,33,40.83,-115.76,57.2,6.93
498,Verkhnevilyuysk,100,RU,1573941644,96,63.45,120.31,-8.09,6.38
499,Ha Giang,100,VN,1573942191,96,22.83,104.99,63.91,1.3
500,Namibe,91,AO,1573941678,78,-15.19,12.15,70.92,15.03
501,Atbasar,93,KZ,1573942191,94,51.81,68.36,14.11,6.31
502,Zaraza,100,VE,1573942191,82,9.35,-65.33,80.62,6.8
503,Hazleton,1,US,1573942192,12,40.96,-75.99,36.0,3.36
504,Oshakati,81,NA,1573942192,18,-17.78,15.7,82.35,17.94
505,Tsaratanana,69,MG,1573942192,88,-16.8,47.65,72.64,3.44
506,Portland,1,US,1573941762,26,43.66,-70.25,30.2,8.05
507,Iralaya,40,HN,1573942192,74,15.0,-83.23,84.2,11.41
508,Qandala,73,SO,1573942192,68,11.47,49.87,77.99,10.63
509,Yulara,0,AU,1573941602,19,-25.24,130.99,71.6,6.93
510,Candolim,20,IN,1573942192,83,15.52,73.76,80.6,2.24
511,Takoradi,79,GH,1573941650,81,4.89,-1.75,81.93,6.98
512,Port Augusta,4,AU,1573942187,62,-32.49,137.76,57.99,11.41
513,Burnie,0,AU,1573942173,57,-41.05,145.91,51.01,14.0
514,Westport,1,US,1573941482,21,41.14,-73.36,39.99,10.29
515,Tezu,40,IN,1573942193,64,27.93,96.16,66.2,2.1
516,Las Margaritas,84,MX,1573942193,82,16.32,-91.98,62.8,4.61
517,Tres Arroyos,0,AR,1573942193,35,-38.38,-60.28,74.89,11.83
518,Manbij,0,SY,1573942193,41,36.53,37.96,41.0,4.7
519,Karabulak,0,KZ,1573942193,41,44.91,78.49,24.93,1.86
520,Djambala,100,CG,1573942194,97,-2.55,14.76,68.67,2.71
521,Ikalamavony,100,MG,1573942194,84,-21.17,46.6,68.29,2.77
522,Avera,90,US,1573941626,100,33.19,-82.53,57.0,8.05
523,Prince Rupert,90,CA,1573942194,93,54.32,-130.32,50.0,19.46
524,Cambridge,90,CA,1573941935,79,43.39,-80.31,30.99,14.99
525,Nhulunbuy,15,AU,1573941672,83,-12.18,136.78,80.6,11.9
526,Kerman,12,IR,1573942194,34,30.29,57.06,33.8,3.87
527,Jagdalpur,0,IN,1573942195,88,19.09,82.02,62.08,2.98
528,Changji,95,CN,1573942195,78,32.07,116.17,57.11,2.62
529,Temirtau,20,KZ,1573942195,61,50.05,72.96,14.0,6.71
530,Okha,100,RU,1573942195,96,53.59,142.95,31.42,17.81
531,Esna,100,RO,1573942195,92,45.2,27.57,54.5,6.85
532,Mahajanga,40,MG,1573942195,78,-15.72,46.32,82.4,8.05
533,Port Hueneme,1,US,1573941968,44,34.15,-119.2,91.4,11.41
534,Tura,63,RU,1573941561,95,64.27,100.22,-29.63,2.82
535,Inongo,100,CD,1573942196,98,-1.93,18.29,71.06,2.26
536,Melfort,90,CA,1573942196,86,52.87,-104.61,28.4,12.75
537,Pechenga,100,RU,1573942196,98,58.89,41.46,33.46,4.79
538,Peniche,20,PT,1573942196,76,39.36,-9.38,53.01,5.82
539,Pitkyaranta,96,RU,1573942196,89,61.57,31.48,33.3,9.62
540,Muisne,90,EC,1573942196,78,0.61,-80.02,82.4,14.99
541,Aksu,75,KZ,1573942197,53,52.04,76.93,24.8,13.42
542,Lahaina,40,US,1573942197,58,20.87,-156.68,87.8,10.47
543,Araouane,100,ML,1573942197,12,18.9,-3.53,79.52,8.23
544,Vanavara,90,RU,1573942197,95,60.35,102.28,-25.76,2.89
545,Araceli,100,PH,1573942197,82,10.55,119.99,79.88,5.73
546,Lahat,48,ID,1573942197,79,-3.78,103.55,67.64,3.2
547,Mikkeli,100,FI,1573942198,100,61.69,27.27,28.99,4.0
548,Rocha,100,UY,1573941684,78,-34.48,-54.34,70.25,7.94
549,Sokoni,100,CD,1573942198,96,-12.89,28.78,65.07,2.19
